name,superNode,type,links
Meat stews,FALSE,food,_LINK_
Truffles,FALSE,food,_LINK_
Panna cotta,FALSE,food,_LINK_
Port-Salut,FALSE,food,_LINK_
Roast pork,FALSE,food,_LINK_
Smoked sausage,FALSE,food,_LINK_
Gouda,FALSE,food,_LINK_
Salad,FALSE,food,_LINK_
Sushi,FALSE,food,_LINK_
Buffalo mozzarella,FALSE,food,_LINK_
Stilton,FALSE,food,_LINK_
Chocolate hazelnut torte,FALSE,food,_LINK_
Roast Chicken,FALSE,food,_LINK_
Fish and chips,FALSE,food,_LINK_
Lancashire cheese,FALSE,food,_LINK_
Leicester cheese,FALSE,food,_LINK_
Oatmeal cookies,FALSE,food,_LINK_
Carrot Cake,FALSE,food,_LINK_
Gorgonzola,FALSE,food,_LINK_
Ginger spice cake,FALSE,food,_LINK_
Cheddar,FALSE,food,_LINK_
Pumpkin flan,FALSE,food,_LINK_
Bratwurst,FALSE,food,_LINK_
Shortbread,FALSE,food,_LINK_
Salad,FALSE,food,_LINK_
Sushi,FALSE,food,_LINK_
Weisswurst,FALSE,food,_LINK_
Trifle,FALSE,food,_LINK_
Key lime pie,FALSE,food,_LINK_
Grilled lamb,FALSE,food,_LINK_
Caramel cheesecake,FALSE,food,_LINK_
Crème brulee,FALSE,food,_LINK_
Gouda,FALSE,food,_LINK_
Parmesan,FALSE,food,_LINK_
Truffles,FALSE,food,_LINK_
Pork,FALSE,food,_LINK_
Sausage,FALSE,food,_LINK_
Biscotti,FALSE,food,_LINK_
Gruyere,FALSE,food,_LINK_
Espresso cake,FALSE,food,_LINK_
Profiteroles,FALSE,food,_LINK_
Mussels,FALSE,food,_LINK_
Mascarpone,FALSE,food,_LINK_
Lemon panna cotta,FALSE,food,_LINK_
